,Unnamed: 0,sub_omid,school_name,school_address,school_county,school_type,omid,PIR_id,institution_name,institution_name.1,institution_county,institution_manager,institution_manager_position,institution_phone,institution_fax,institution_web,institution_tax_number,institution_tasks,founder_name,founder_address,maintainer_name,maintainer_address,maintainer_type,maintainer_representative,maintainer_phone,school_type_2,number_of_operational_sub_institution,number_students,number_students_female,number_of_therapeutical_students,full_time_teachers,full_time_teachers_female,number_classrooms,number_classes,number_helper_teachers,number_helper_teachers_female,school_name+address,competency_test_math,competency_test_hu,eng_lang_A,geo_A,info_A,cemistry_A,hu_A,math_A,PE_A,hist_A,eng_lang_midlevel,geo_midlevel,info_midlevel,cemistry_midlevel,hu_midlevel,math_midlevel,PE_midlevel,hist_midlevel,eng_lang_A_%,geo_A_%,info_A_%,cemistry_A_%,hu_A_%,math_A_%,PE_A_%,hist_A_%,eng_lang_midlevel_%,geo_midlevel_%,info_midlevel_%,cemistry_midlevel_%,hu_midlevel_%,math_midlevel_%,PE_midlevel_%,hist_midlevel_%,eng_lang_A_avg,geo_A_avg,info_A_avg,cemistry_A_avg,hu_A_avg,math_A_avg,PE_A_avg,hist_A_avg,eng_lang_midlevel_avg,geo_midlevel_avg,info_midlevel_avg,cemistry_midlevel_avg,hu_midlevel_avg,math_midlevel_avg,PE_midlevel_avg,hist_midlevel_avg,advertised_places,number_applicants,number_applicants_first_place,number_got_in,number_got_in_from_first_place,higher_got_in_score,lowest_got_in_score,bio_A,physics_A,german_lang_A,spanish_lang_A,bio_midlevel,physics_midlevel,german_lang_midlevel,spanish_lang_midlevel,bio_A_%,physics_A_%,german_lang_A_%,spanish_lang_A_%,bio_midlevel_%,physics_midlevel_%,german_lang_midlevel_%,spanish_lang_midlevel_%,bio_A_avg,physics_A_avg,german_lang_A_avg,spanish_lang_A_avg,bio_midlevel_avg,physics_midlevel_avg,german_lang_midlevel_avg,spanish_lang_midlevel_avg,french_lang_A,latin_A,italian_lang_A,music_A,french_lang_midlevel,latin_midlevel,italian_lang_midlevel,music_midlevel,french_lang_A_%,latin_A_%,italian_lang_A_%,music_A_%,french_lang_midlevel_%,latin_midlevel_%,italian_lang_midlevel_%,music_midlevel_%,french_lang_A_avg,latin_A_avg,italian_lang_A_avg,music_A_avg,french_lang_midlevel_avg,latin_midlevel_avg,italian_lang_midlevel_avg,music_midlevel_avg,russian_lang_A,russian_lang_midlevel,russian_lang_A_%,russian_lang_midlevel_%,russian_lang_A_avg,russian_lang_midlevel_avg,beas_lang_A,lovari_lang_A,beas_lang_midlevel,lovari_lang_midlevel,beas_lang_A_%,lovari_lang_A_%,beas_lang_midlevel_%,lovari_lang_midlevel_%,beas_lang_A_avg,lovari_lang_A_avg,beas_lang_midlevel_avg,lovari_lang_midlevel_avg,croatian_lang_A,croatian_lang_midlevel,croatian_lang_A_%,croatian_lang_midlevel_%,croatian_lang_A_avg,croatian_lang_midlevel_avg,polish_lang_A,polish_lang_midlevel,polish_lang_A_%,polish_lang_midlevel_%,polish_lang_A_avg,polish_lang_midlevel_avg,japanese_lang_A,japanese_lang_midlevel,japanese_lang_A_%,japanese_lang_midlevel_%,japanese_lang_A_avg,japanese_lang_midlevel_avg,chinese_lang_A,chinese_lang_midlevel,chinese_lang_A_%,chinese_lang_midlevel_%,chinese_lang_A_avg,chinese_lang_midlevel_avg,hebrew_lang_A,hebrew_lang_midlevel,hebrew_lang_A_%,hebrew_lang_midlevel_%,hebrew_lang_A_avg,hebrew_lang_midlevel_avg,holland_lang_A,holland_lang_midlevel,holland_lang_A_%,holland_lang_midlevel_%,holland_lang_A_avg,holland_lang_midlevel_avg,greek_lang_A,greek_lang_midlevel,greek_lang_A_%,greek_lang_midlevel_%,greek_lang_A_avg,greek_lang_midlevel_avg,esperanto_lang_A,esperanto_lang_midlevel,esperanto_lang_A_%,esperanto_lang_midlevel_%,esperanto_lang_A_avg,esperanto_lang_midlevel_avg,portuguese_lang_A,portuguese_lang_midlevel,portuguese_lang_A_%,portuguese_lang_midlevel_%,portuguese_lang_A_avg,portuguese_lang_midlevel_avg,serbian_lang_A,serbian_lang_midlevel,serbian_lang_A_%,serbian_lang_midlevel_%,serbian_lang_A_avg,serbian_lang_midlevel_avg,romanian_lang_A,romanian_lang_midlevel,romanian_lang_A_%,romanian_lang_midlevel_%,romanian_lang_A_avg,romanian_lang_midlevel_avg,slovakian_lang_A,slovakian_lang_midlevel,slovakian_lang_A_%,slovakian_lang_midlevel_%,slovakian_lang_A_avg,slovakian_lang_midlevel_avg,school_id,school_coords,latitude,longitude
0,0,1.0,"Miroslav Krleža Horvát Óvoda, Általános Iskola, Gimnázium és Kollégium","7624 Pécs, Szigeti út 97.",Baranya,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás', 'kollégiumi ellátás']",27240.0,676328.0,"Miroslav Krleža Horvát Óvoda, Általános Iskola, Gimnázium és Kollégium","7624 Pécs, Szigeti út 97.",Baranya,Magyar Rita,igazgató,72/252657,72/252657,www.krleza.hu,16627611-2-02,"óvodai nevelés, általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, kollégiumi ellátás",Országos Horvát Önkormányzat,"1089 Budapest, Bíró Lajos utca 24.",Országos Horvát Önkormányzat,"1089 Budapest VIII. kerület, Bíró Lajos utca 24.",országos nemzetiségi önkormányzat,Gugán János,1/3036093,Gimnázium,1.0,106.0,71.0,2.0,13.0,7.0,9.0,5.0,0.0,0.0,"Miroslav Krleža Horvát Óvoda, Általános Iskola, Gimnázium és Kollégium (7624 Pécs, Szigeti út 97.)",1593.666666666667,1622.333333333333,10,,,5-nél kevesebb,5-nél kevesebb,,,,5-nél kevesebb,10,5-nél kevesebb,,24,26,5-nél kevesebb,26,62 %,,,21 %,34 %,,,,54 %,51 %,85 %,,64 %,45 %,97 %,44 %,4.6,,,1.0,3.0,,,,3.0,3.2,5.0,,3.92,2.42,5.0,2.69,41.0,47.0,25.0,29.0,25.0,5.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27240_1,"[46.06767319999999, 18.1904015]",46.06767319999999,18.1904015
3,3,3.0,"Szent Mór Katolikus Óvoda, Általános Iskola, Alapfokú Művészeti Iskola és Gimnázium","7621 Pécs, Papnövelde utca 1-3",Baranya,"['általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás', 'alapfokú művészetoktatás zeneművészeti ágon']",27264.0,,"Szent Mór Katolikus Óvoda, Általános Iskola, Alapfokú Művészeti Iskola és Gimnázium","7621 Pécs, Papnövelde utca 1-3",Baranya,Nagy Andrea,intézményvezető,72/514-283,72/514-282,www.szentmor.hu,18323588-2-02,"óvodai nevelés, általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, alapfokú művészetoktatás zeneművészeti ágon, alapfokú művészetoktatás képző- és iparművészeti ágon",Magyar Katolikus Egyház Pécsi Egyházmegye,"7621 Pécs, Dóm tér 2",Magyar Katolikus Egyház Pécsi Egyházmegye,"7621 Pécs, Dóm tér 2.",egyházi jogi személy,Tóth László Ákos,72/513035,Gimnázium,1.0,200.0,99.0,14.0,21.0,15.0,13.0,8.0,3.0,2.0,"Szent Mór Katolikus Óvoda, Általános Iskola, Alapfokú Művészeti Iskola és Gimnázium (7621 Pécs, Papnövelde utca 1-3)",1656.333333333333,1675.0,8,5-nél kevesebb,5-nél kevesebb,,5-nél kevesebb,5-nél kevesebb,,5-nél kevesebb,17,5-nél kevesebb,7,,27,26,5-nél kevesebb,24,73 %,73 %,50 %,,38 %,51 %,,60 %,67 %,58 %,61 %,,74 %,55 %,90 %,67 %,4.88,5.0,3.67,,3.0,4.0,,4.5,3.88,3.5,3.71,,4.37,2.54,5.0,3.96,50.0,278.0,46.0,45.0,34.0,14.0,155.0,5-nél kevesebb,,5-nél kevesebb,,5,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,55 %,,64 %,,56 %,73 %,53 %,82 %,4.0,,5.0,,3.4,4.0,3.33,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27264_3,"[46.079187, 18.2275]",46.079187,18.2275
5,5,1.0,Ciszterci Rend Nagy Lajos Gimnáziuma és Kollégiuma,"7621 Pécs, Széchenyi tér 11.",Baranya,"['4 évfolyamos gimnáziumi nevelés-oktatás', '6 évfolyamos gimnáziumi nevelés-oktatás']",27396.0,,Ciszterci Rend Nagy Lajos Gimnáziuma és Kollégiuma,"7621 Pécs, Széchenyi tér 11.",Baranya,Bodáné Gálosi Márta,intézményvezető,72/312888,72/516553,www.crnlg.hu,18301722-2-02,"4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, kollégiumi ellátás, egyéb",Zirci Ciszterci Apátság,"8420 Zirc, Rákóczi tér 1.",Zirci Ciszterci Apátság,"8420 Zirc, Rákóczi tér 1.",egyházi jogi személy,Bérczi László Bernát,+3688593653,Gimnázium,1.0,807.0,422.0,0.0,66.0,32.0,37.0,22.0,32.0,19.0,"Ciszterci Rend Nagy Lajos Gimnáziuma és Kollégiuma (7621 Pécs, Széchenyi tér 11.)",1829.666666666667,1815.666666666667,36,7,25,36,14,15,5-nél kevesebb,11,79,13,12,,162,162,5-nél kevesebb,165,71 %,60 %,64 %,58 %,48 %,58 %,64 %,64 %,82 %,65 %,59 %,,80 %,71 %,94 %,75 %,4.75,4.57,4.24,4.06,3.79,3.8,4.5,4.73,4.57,3.85,3.5,,4.59,4.07,5.0,4.35,160.0,810.0,265.0,160.0,134.0,38.0,357.0,49,13,14,5-nél kevesebb,9,5-nél kevesebb,42,,66 %,71 %,61 %,65 %,71 %,76 %,76 %,,4.59,4.46,4.21,4.5,4.22,4.5,4.4,,5-nél kevesebb,5-nél kevesebb,,,5-nél kevesebb,,5,5-nél kevesebb,66 %,86 %,,,75 %,,84 %,69 %,5.0,5.0,,,4.0,,4.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27396_1,"[46.0772195, 18.2272909]",46.0772195,18.2272909
8,8,1.0,Pécsi Leőwey Klára Gimnázium,"7621 Pécs, Szent István tér 8-10.",Baranya,"['4 évfolyamos gimnáziumi nevelés-oktatás', '5 évfolyamos gimnáziumi nevelés-oktatás']",27397.0,,Pécsi Leőwey Klára Gimnázium,"7621 Pécs, Szent István tér 8-10.",Baranya,Dr. Zalay Szabolcs,intézményvezető,72/518460,72/518488,www.leoweypecs.hu,15835358-2-02,"4 évfolyamos gimnáziumi nevelés-oktatás, 5 évfolyamos gimnáziumi nevelés-oktatás",Emberi Erőforrások Minisztériuma,"1054 Budapest, Akadémia utca 3.",Pécsi Tankerületi Központ,"7621 Pécs, Színház tér 2.",tankerületi központ,Páva Péter,+36 (72) 795-209,Gimnázium,1.0,683.0,436.0,5.0,63.0,44.0,26.0,22.0,22.0,13.0,"Pécsi Leőwey Klára Gimnázium (7621 Pécs, Szent István tér 8-10.)",1797.0,1810.0,8,8,5,20,5-nél kevesebb,26,,12,45,17,11,5-nél kevesebb,150,128,5-nél kevesebb,142,65 %,59 %,46 %,55 %,64 %,60 %,,73 %,78 %,68 %,59 %,66 %,81 %,68 %,85 %,70 %,4.5,4.38,3.0,3.7,4.75,4.31,,4.92,4.44,3.94,3.55,4.0,4.67,3.88,5.0,4.13,165.0,648.0,205.0,150.0,134.0,24.0,355.0,32,7,15,,9,11,16,5-nél kevesebb,66 %,69 %,73 %,,71 %,74 %,85 %,83 %,4.56,4.43,4.53,,4.0,4.18,4.69,5.0,31,,5-nél kevesebb,,5-nél kevesebb,,,,77 %,,63 %,,77 %,,,,4.9,,4.67,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27397_1,"[46.0762227, 18.2226657]",46.0762227,18.2226657
9,9,1.0,Pécsi Kodály Zoltán Gimnázium,"7629 Pécs, Dobó István utca 35-37.",Baranya,"['4 évfolyamos gimnáziumi nevelés-oktatás', '6 évfolyamos gimnáziumi nevelés-oktatás']",27398.0,,Pécsi Kodály Zoltán Gimnázium,"7629 Pécs, Dobó István utca 35-37.",Baranya,Béres Andrásné,intézményvezető,72/539041,72/539042,www.kodaly-pecs.sulinet.hu,15835358-2-02,"4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, egyéb sport feladat",Emberi Erőforrások Minisztériuma,"1054 Budapest, Akadémia utca 3.",Pécsi Tankerületi Központ,"7621 Pécs, Színház tér 2.",tankerületi központ,Páva Péter,+36 (72) 795-209,Gimnázium,1.0,581.0,424.0,26.0,51.0,40.0,40.0,20.0,11.0,6.0,"Pécsi Kodály Zoltán Gimnázium (7629 Pécs, Dobó István utca 35-37.)",1662.333333333333,1715.666666666667,22,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,30,5-nél kevesebb,9,,99,99,9,101,61 %,40 %,30 %,30 %,52 %,38 %,58 %,78 %,60 %,43 %,55 %,,68 %,53 %,70 %,56 %,4.55,3.0,2.0,2.0,4.33,3.0,4.5,5.0,3.23,2.67,3.33,,4.0,3.03,4.0,3.35,122.0,849.0,171.0,122.0,76.0,49.0,385.0,14,5-nél kevesebb,,22,9,,5-nél kevesebb,7,48 %,39 %,,71 %,44 %,,42 %,62 %,3.57,3.0,,4.77,2.67,,2.5,3.71,,,23,,5-nél kevesebb,,5-nél kevesebb,5-nél kevesebb,,,74 %,,60 %,,62 %,84 %,,,4.91,,4.0,,3.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27398_1,"[46.0880284, 18.2673807]",46.0880284,18.2673807
11,11,1.0,"Pécsi Apáczai Csere János Általános Iskola, Gimnázium, Kollégium, Alapfokú Művészeti Iskola","7632 Pécs, Apáczai Csere János körtér 1 A ép.",Baranya,"['4 évfolyamos gimnáziumi nevelés-oktatás', 'alapfokú művészetoktatás zeneművészeti ágon', 'alapfokú művészetoktatás táncművészeti ágon', 'alapfokú művészetoktatás képző- és iparművészeti ágon', 'Köznevelési Hídprogram keretén belül zajló nevelés-oktatás']",27399.0,,"Pécsi Apáczai Csere János Általános Iskola, Gimnázium, Kollégium, Alapfokú Művészeti Iskola","7632 Pécs, Apáczai Csere János körtér 1 A ép.",Baranya,Ulrich Magdolna Mária,intézményvezető,72/550620,72/550621,www.educentrum.hu;,15835358-2-02,"általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, alapfokú művészetoktatás zeneművészeti ágon, alapfokú művészetoktatás táncművészeti ágon, alapfokú művészetoktatás képző- és iparművészeti ágon, kollégiumi ellátás, Köznevelési Hídprogram keretén belül zajló nevelés-oktatás",Emberi Erőforrások Minisztériuma,"1054 Budapest, Akadémia utca 3.",Pécsi Tankerületi Központ,"7621 Pécs, Színház tér 2.",tankerületi központ,Páva Péter,+36 (72) 795-209,Gimnázium,1.0,366.0,215.0,27.0,33.0,27.0,19.0,12.0,21.0,12.0,"Pécsi Apáczai Csere János Általános Iskola, Gimnázium, Kollégium, Alapfokú Művészeti Iskola (7632 Pécs, Apáczai Csere János körtér 1 A ép.)",1704.0,1770.0,46,5-nél kevesebb,5-nél kevesebb,,8,6,5,12,34,5-nél kevesebb,23,,82,84,5-nél kevesebb,78,77 %,57 %,61 %,,50 %,41 %,58 %,59 %,60 %,28 %,68 %,,67 %,46 %,88 %,55 %,4.89,4.0,3.5,,3.62,3.17,3.6,4.25,3.29,2.0,4.04,,3.96,2.73,5.0,3.41,93.0,412.0,61.0,80.0,47.0,45.0,294.0,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,,7,,10,,65 %,39 %,50 %,,52 %,,57 %,,5.0,3.0,4.0,,3.14,,3.5,,5-nél kevesebb,,,,5-nél kevesebb,,,,85 %,,,,80 %,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27399_1,"[46.04038389999999, 18.2233811]",46.04038389999999,18.2233811
16,16,1.0,Mohácsi Kisfaludy Károly Gimnázium,"7700 Mohács, Szepessy tér 6.",Baranya,"['4 évfolyamos gimnáziumi nevelés-oktatás', '6 évfolyamos gimnáziumi nevelés-oktatás']",27401.0,,Mohácsi Kisfaludy Károly Gimnázium,"7700 Mohács, Szepessy tér 6.",Baranya,Hahnerné Feth Gabriella,intézményvezető,69/311255,,www.mohacsikisfaludy.hu,15835303-2-02,"4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás",Emberi Erőforrások Minisztériuma,"1054 Budapest, Akadémia utca 3.",Mohácsi Tankerületi Központ,"7700 Mohács, Szabadság utca 4-6.",tankerületi központ,Käszné Lebő Zsuzsanna,+36 (69) 795-255,Gimnázium,1.0,359.0,200.0,3.0,34.0,26.0,22.0,15.0,10.0,7.0,"Mohácsi Kisfaludy Károly Gimnázium (7700 Mohács, Szepessy tér 6.)",1723.333333333333,1688.333333333333,8,,5,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,23,6,5,,70,68,10,68,64 %,,44 %,27 %,45 %,38 %,63 %,71 %,63 %,61 %,68 %,,61 %,56 %,83 %,55 %,4.38,,3.2,2.0,3.0,3.0,4.0,4.33,3.78,3.67,4.2,,3.6,3.32,4.6,3.29,120.0,233.0,74.0,79.0,56.0,52.0,192.0,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,,6,5-nél kevesebb,16,,68 %,48 %,55 %,,41 %,68 %,45 %,,5.0,4.0,4.0,,2.33,4.0,2.81,,,,,,,,,5-nél kevesebb,,,,,,,,74 %,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27401_1,"[45.995885, 18.6813439]",45.995884999999994,18.681343899999998
17,17,1.0,"Siklósi Táncsics Mihály Gimnázium, Általános Iskola és Alapfokú Művészeti Iskola","7800 Siklós, Gyűdi út 2.",Baranya,['4 évfolyamos gimnáziumi nevelés-oktatás'],27402.0,,"Siklósi Táncsics Mihály Gimnázium, Általános Iskola és Alapfokú Művészeti Iskola","7800 Siklós, Gyűdi út 2.",Baranya,Fischer Zsolt,intézményvezető,72/496-417,,www.skisiklos.hu,15835303-2-02,"általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, alapfokú művészetoktatás zeneművészeti ágon, alapfokú művészetoktatás táncművészeti ágon, alapfokú művészetoktatás képző- és iparművészeti ágon, alapfokú művészetoktatás szín- és bábművészeti ágon, kollégiumi ellátás",Emberi Erőforrások Minisztériuma,"1054 Budapest, Akadémia utca 3.",Mohácsi Tankerületi Központ,"7700 Mohács, Szabadság utca 4-6.",tankerületi központ,Käszné Lebő Zsuzsanna,+36 (69) 795-255,Gimnázium,1.0,209.0,126.0,7.0,20.0,16.0,13.0,8.0,9.0,6.0,"Siklósi Táncsics Mihály Gimnázium, Általános Iskola és Alapfokú Művészeti Iskola (7800 Siklós, Gyűdi út 2.)",1652.0,1673.0,5-nél kevesebb,,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,,,5-nél kevesebb,29,5,10,,42,46,7,44,74 %,,44 %,14 %,34 %,,,62 %,53 %,60 %,57 %,,60 %,39 %,71 %,45 %,5.0,,3.0,1.0,2.75,,,4.0,3.14,3.6,3.5,,3.55,2.54,3.86,2.84,132.0,241.0,46.0,53.0,38.0,58.0,212.0,5-nél kevesebb,,,,10,,15,,27 %,,,,36 %,,47 %,,2.0,,,,2.3,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27402_1,"[45.857869, 18.291431]",45.857869,18.291431
25,25,1.0,"Pécsi Tudományegyetem Gyakorló Általános Iskola, Gimnázium és Óvoda","7633 Pécs, Dr. Veress Endre utca 15.",Baranya,['4 évfolyamos gimnáziumi nevelés-oktatás'],27406.0,,"Pécsi Tudományegyetem Gyakorló Általános Iskola, Gimnázium és Óvoda","7633 Pécs, Dr. Veress Endre utca 15.",Baranya,Turi Katalin,igazgató,72/503656,,www.ptegyakorlo.pte.hu,15329798-2-02,"óvodai nevelés, általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás",Pécsi Tudományegyetem,"7622 Pécs, Vasvári Pál utca 4",Pécsi Tudományegyetem,"7622 Pécs, Vasvári Pál utca 4.",állami felsőoktatási intézmény,Dr. Miseta Attila,72/501-500,Gimnázium,2.0,754.0,416.0,0.0,82.0,62.0,36.0,26.0,9.0,6.0,"Pécsi Tudományegyetem Gyakorló Általános Iskola, Gimnázium és Óvoda (7633 Pécs, Dr. Veress Endre utca 15.)",1798.0,1827.0,53,5-nél kevesebb,12,6,12,27,8,19,52,8,16,,160,145,5-nél kevesebb,153,67 %,71 %,53 %,35 %,56 %,63 %,66 %,59 %,74 %,72 %,60 %,,75 %,62 %,98 %,67 %,4.64,4.67,3.58,2.5,4.33,4.37,4.25,4.26,4.23,4.12,3.56,,4.34,3.52,5.0,3.95,170.0,836.0,220.0,165.0,141.0,43.0,427.0,15,9,18,5-nél kevesebb,7,5-nél kevesebb,23,,64 %,57 %,65 %,66 %,49 %,88 %,74 %,,4.47,4.22,4.61,5.0,2.86,5.0,4.26,,5-nél kevesebb,,,,5-nél kevesebb,,,,57 %,,,,64 %,,,,4.0,,,,4.0,,,,5-nél kevesebb,,85 %,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27406_1,"[46.06369, 18.202546]",46.06369,18.202545999999998
26,26,2.0,PTE Gyakorló Általános Iskola és Gimnázium Deák Ferenc Gimnáziuma és Általános Iskolája,"7624 Pécs, Őz utca 2.",Baranya,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás']",27406.0,,"Pécsi Tudományegyetem Gyakorló Általános Iskola, Gimnázium és Óvoda","7633 Pécs, Dr. Veress Endre utca 15.",Baranya,Turi Katalin,igazgató,72/503656,,www.ptegyakorlo.pte.hu,15329798-2-02,"óvodai nevelés, általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás",Pécsi Tudományegyetem,"7622 Pécs, Vasvári Pál utca 4",Pécsi Tudományegyetem,"7622 Pécs, Vasvári Pál utca 4.",állami felsőoktatási intézmény,Dr. Miseta Attila,72/501-500,Gimnázium,2.0,754.0,416.0,0.0,82.0,62.0,36.0,26.0,9.0,6.0,"PTE Gyakorló Általános Iskola és Gimnázium Deák Ferenc Gimnáziuma és Általános Iskolája (7624 Pécs, Őz utca 2.)",1669.0,1678.333333333333,12,,9,,,5-nél kevesebb,5-nél kevesebb,5,17,,15,,53,52,7,48,47 %,,43 %,,,49 %,72 %,71 %,65 %,,64 %,,66 %,60 %,85 %,65 %,3.42,,3.33,,,4.0,4.33,4.8,3.76,,3.8,,3.89,3.58,4.57,3.88,,,,,,,,,5-nél kevesebb,5-nél kevesebb,,5-nél kevesebb,,5-nél kevesebb,,,69 %,38 %,,55 %,,54 %,,,5.0,2.5,,3.5,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27406_2,"[46.075209, 18.213733]",46.075209,18.213732999999998
29,29,1.0,Pécsi Janus Pannonius Gimnázium,"7621 Pécs, Mária utca 2-4.",Baranya,"['4 évfolyamos gimnáziumi nevelés-oktatás', '6 évfolyamos gimnáziumi nevelés-oktatás']",27407.0,,Pécsi Janus Pannonius Gimnázium,"7621 Pécs, Mária utca 2-4.",Baranya,Ritter Attila,intézményvezető,72/234107,72/516339,www.janus-pecs.sulinet.hu,15835358-2-02,"4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás",Emberi Erőforrások Minisztériuma,"1054 Budapest, Akadémia utca 3.",Pécsi Tankerületi Központ,"7621 Pécs, Színház tér 2.",tankerületi központ,Páva Péter,+36 (72) 795-209,Gimnázium,1.0,625.0,296.0,4.0,51.0,40.0,24.0,20.0,5.0,2.0,"Pécsi Janus Pannonius Gimnázium (7621 Pécs, Mária utca 2-4.)",1895.666666666667,1884.333333333333,37,5-nél kevesebb,12,7,7,27,5-nél kevesebb,19,36,5-nél kevesebb,20,,108,88,5-nél kevesebb,96,79 %,67 %,62 %,63 %,67 %,72 %,92 %,72 %,88 %,90 %,87 %,,74 %,77 %,99 %,75 %,4.92,5.0,4.58,4.43,4.71,4.74,5.0,4.74,4.81,5.0,4.85,,4.29,4.36,5.0,4.44,129.0,325.0,156.0,129.0,119.0,8.0,190.0,9,5-nél kevesebb,10,,5-nél kevesebb,6,9,,71 %,93 %,71 %,,61 %,83 %,76 %,,4.78,5.0,4.6,,3.67,4.83,4.11,,,,,,5-nél kevesebb,,,5-nél kevesebb,,,,,88 %,,,82 %,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27407_1,"[46.077205, 18.2283993]",46.077205,18.228399300000003
